trial,t,x,y
13,0.6239431689973571,3,-93
13,0.6309261539972795,3,-97
13,0.6380637570000545,3,-101
13,0.645195730998239,3,-103
13,0.6519929999994929,3,-105
13,0.6589696650007681,3,-106
13,0.6660332449973794,3,-106
13,0.6731048929977987,3,-107
13,0.6800854169996455,3,-107
13,0.6870298590001767,3,-107
13,0.6941195459985465,3,-108
13,0.7011393590000807,3,-108
13,0.7081578639990767,3,-108
13,0.7154296819971933,3,-109
13,0.7222646579975844,3,-109
13,0.729153172000224,3,-109
13,0.7363623300007021,3,-109
13,0.743869949998043,3,-110
13,0.7501595600006112,3,-110
13,0.7572158650000347,3,-110
13,0.7642448029982916,3,-111
13,0.7711640939996869,3,-111
13,0.7783031260005373,3,-111
13,0.7854150559978734,3,-111
13,0.7924558550002985,3,-112
13,0.7994598119985312,3,-112
13,0.8066560299994308,3,-113
13,0.8137407879985403,3,-114
13,0.8206863509985851,3,-114
13,0.8274286509986268,3,-115
13,0.8343859140004497,3,-116
13,0.8417136579992075,3,-116
13,0.8489089699978649,3,-117
13,0.8559392809984274,3,-118
13,0.8628219940001145,3,-118
13,0.8696561459983059,3,-119
13,0.8769410860004427,3,-119
13,0.8836659400003555,3,-119
13,0.8909456340006727,3,-120
13,0.8978507939973497,3,-120
13,0.9048031749989605,3,-120
13,0.9120079579988669,3,-121
13,0.9186217069982376,3,-121
13,0.9259855290001724,3,-121
13,0.932765637000557,3,-121
13,0.9399746929993853,3,-122
13,0.9470214009998017,3,-122
13,0.9539084719981474,3,-122
13,0.9612952129973564,3,-123
13,0.9679199569982302,3,-123
13,0.9749490359972697,3,-123
13,0.9819355660001747,3,-124
13,0.9889135699995677,3,-124
13,0.9959542760007025,3,-124
13,1.0028993539999647,3,-124
13,1.0098717180007952,2,-125
13,1.0169455840004957,2,-125
13,1.0239235230001213,2,-125
13,1.0309770769999886,2,-126
13,1.0661593449985958,2,-126
13,1.0871705770005065,2,-126
13,1.0942256540001836,2,-126
13,1.1012594229978276,2,-127
13,1.1152073230005044,2,-127
13,1.4099593440005265,2,-127
14,0.0,3,3
14,0.5389188730005117,12,6
14,0.5459600239992142,26,7
14,0.5523536929977126,41,7
14,0.5590895399982401,53,7
14,0.5667560549991322,63,7
14,0.5733026749985584,71,6
14,0.5806663799994567,78,5
14,0.5874816849973286,83,5
14,0.5938528009974107,89,4
14,0.6010458089986059,95,4
14,0.6084883160001482,102,3
14,0.615440170000511,108,2
14,0.622680851000041,114,2
14,0.6298031730002549,120,1
14,0.6369546009991609,126,-1
14,0.6435315419985272,132,-2
14,0.6505922849974013,139,-5
14,0.6576947859975917,146,-7
14,0.6646143430007214,153,-9
14,0.67167670499839,159,-11
14,0.6786559869979101,164,-14
14,0.6858527650001633,170,-16
14,0.6926590729999589,174,-18
14,0.6996271389980393,177,-20
14,0.7067366279989074,180,-21
14,0.7137922759975481,183,-23
14,0.7208118720009224,186,-24
14,0.7278386899997713,188,-25
14,0.7348340299977281,189,-25
14,0.7419006249983795,191,-26
14,0.7488705549985752,192,-26
